,business,category,address,lat,long,lifeline
0,City Captain Transportation,taxis,"3200 Adams Ave', 'Ste 105', 'San Diego, CA 92116",32.7636919,-117.1247661,6
1,Aall In Limo & Party Bus,limos,"655 W Broadway', 'Ste 1300', 'San Diego, CA 92101",32.715375,-117.168598,6
2,Gold Coast Town Car Services,limos,"San Diego, CA 92168",32.7685508728027,-117.148399353027,6
3,Top Dog Limo Bus,limos,"1103 Emerald St', 'San Diego, CA 92109",32.79943,-117.2503,6
4,Limo Kings Limousine Service,limos,"4365 Mission Bay Dr', 'San Diego, CA 92116",32.8016063,-117.158483,6
5,Bolt Transportation,limos,"4641 Lisann St', 'San Diego, CA 92117",32.82961,-117.22482,6
6,Masterpiece Limousine,limos,"1426 Morena Blvd', 'San Diego, CA 92110",32.77318,-117.2044,6
7,Finest City Transportation,towncarservice,"San Diego, CA 92126",32.92059,-117.13987,6
8,Royalty Limousine,limos,"10876 Ivy Hill Dr', 'San Diego, CA 92131",32.9381657,-117.0955352,6
9,Torrey Pines Town Car,towncarservice,"4653 Carmel Mountain Rd', 'Ste 308-240', 'San Diego, CA 92130",32.9206161499023,-117.213485717773,6
10,Stay Classy Airport Black Car Service,airport_shuttles,"8375 Calle Morelos', 'San Diego, CA 92126",32.92309,-117.14317,6
11,WallyPark,airport_shuttles,"3150 Kettner Blvd', 'San Diego, CA 92101",32.736284,-117.176679,6
12,San Diego Limo Transfer,limos,"10601 Tierrasanta Blvd', 'Ste 234', 'San Diego, CA 92124",32.8229192644358,-117.100856155157,6
13,The San Diego - Coronado Bridge,landmarks,"San Diego, CA 92101",32.690803,-117.152207,6
14,AK Cab,taxis,"San Diego, CA 92120",32.7945022583008,-117.07275390625,6
15,WallyPark Airport Parking - Garage,parking,"3298 Kettner Blvd', 'San Diego, CA 92101",32.736358917567,-117.176213391505,6
16,San Diego Charter,limos,"1426 Morena Blvd', 'San Diego, CA 92110",32.773079,-117.204449,6
17,Taxi Rob,taxis,"San Diego, CA 92116",32.7616195678711,-117.125991821289,6
18,San Diego Seal Tour,tours,"500 Kettner Blvd', 'San Diego, CA 92101",32.7085907757282,-117.169497907162,6
19,Five Star Transportation Services,buses,"714 10th Ave', 'San Diego, CA 92102",32.71282,-117.15602,6
20,Lovely Nights Limousine Service,limos,"1455 Frazee Rd', 'Ste 500', 'San Diego, CA 92108",32.7741805,-117.1586352,6
21,Cali Party Bus,limos,"2244 National Ave', 'San Diego, CA 92113",32.69692,-117.13903,6
22,Southwest Airlines,airlines,"3665 N Harbor Dr', 'San Diego, CA 92101",32.7296349,-117.1959381,6
23,Epic Limo and Party Bus,limos,"3392 E St', 'San Diego, CA 92102",32.7146482,-117.1212921,6
24,California Coast Limo,limos,"San Diego, CA 92104",32.7456146222639,-117.142368990043,6
25,SD Luxury Limos,limos,"600 W Broadway', 'Ste 700', 'San Diego, CA 92101",32.7167702,-117.1687164,6
26,Andys Cab,taxis,"San Diego, CA 94945",32.7580231817725,-117.2172397693,6
27,On Time Shuttle Ride,airport_shuttles,"1621 Hotel Cir S', 'San Diego, CA 92108",32.7578659057617,-117.178497314453,6
28,The DD Van Service,limos,"San Diego, CA 92110",32.72801,-117.231209,6
29,Rolls Livery,limos,"3776 37th St', 'San Diego, CA 92105",32.7474599,-117.11348,6
30,San Diego Van Service,airport_shuttles,"San Diego, CA 92109",32.7952194213867,-117.237655639648,6
31,Coastal Cab company,taxis,"1800 Columbia St', 'San Diego, CA 92101",32.7246663248617,-117.167786206841,6
32,Santa Fe Train Depot,publictransport,"1050 Kettner Blvd', 'San Diego, CA 92101",32.71651,-117.1695,6
33,A Big Van San Diego Shuttle,airport_shuttles,"San Diego, CA 92103",32.7473487854004,-117.166870117188,6
34,Coronado Ferry,ferries,"990 N Harbor Dr', 'San Diego, CA 92101",32.7151808,-117.173458188772,6
35,Xperience Transportation,eventplanning,"7364 Mission Gorge Rd', 'San Diego, CA 92120",32.8065706,-117.0803645,6
36,Luxx Limo,limos,"3644 Midway Dr', 'San Diego, CA 92110",32.7528582,-117.2159045,6
37,Men In Black Transportation,airport_shuttles,"5644 Kearny Mesa Rd', 'Ste T', 'San Diego, CA 92111",32.8371799,-117.13906,6
38,Flex Transportation,airport_shuttles,"11835 Carmel Mtn Rd', 'Ste 1304-102', 'San Diego, CA 92128",32.9517989057565,-117.102028763419,6
39,SuperShuttle,airport_shuttles,"San Diego, CA 92108",32.7737007141113,-117.144020080566,6
40,Park-2-Park Shuttle,publictransport,"30TH St', 'San Diego, CA",32.730514,-117.129741,6
41,San Diego Black Car,airport_shuttles,"1220 Rosecrans St', 'San Diego, CA 92106",32.723091,-117.230936,6
42,JohnnyCar Sedan Service,taxis,"2321 Morena Blvd', 'San Diego, CA 92110",32.78647,-117.20596,6
43,Tesloop,towncarservice,"San Diego, CA 92121",32.9028176,-117.1946528,6
44,Uber Greenlight Hub,taxis,"7310 Miramar Rd', 'Ste 103', 'San Diego, CA 92126",32.8828699,-117.15579,6
45,Budget Transportation,airport_shuttles,"6525 Beadnell Way', 'San Diego, CA 92117",32.8207839,-117.1720306,6
46,Talia First Class Limousines and Wine Tours,limos,"2401 Pacific Hwy', 'San Diego, CA 92101",32.7294191,-117.1733942,6
47,Rhyde,airport_shuttles,"525 11th Ave', 'San Diego, CA 92101",32.710897,-117.154195,6
48,Half Moon Limos Car Service | San Diego LAX,towncarservice,"San Diego, CA 92128",33.0013938,-117.0735241,6
49,ExecuCar,limos,"San Diego, CA 92108",32.78292,-117.11055,6
50,Kyxy 96.5 FM Radio,radiostations,"8033 Linda Vista Rd', 'San Diego, CA 92111",32.8073997497559,-117.153999328613,6
51,T-Mobile,mobilephones,"1900 Main St', 'Ste 189', 'San Diego, CA 92113",32.699123,-117.146,6
52,T-Mobile,mobilephones,"3807 Fairmont Ave', 'Ste 100', 'San Diego, CA 92105",32.7480927,-117.100712,6
53,T-Mobile,mobilephones,"7420 Clairemont Mesa Blvd', 'Ste 117', 'San Diego, CA 92111",32.8335723,-117.158444523811,6
54,T-Mobile,mobilephones,"336 Euclid Ave', 'Ste 501', 'San Diego, CA 92114",32.7084736691789,-117.086592804893,6
55,NBC 7 Channel 39,televisionstations,"9680 Granite Ridge Dr', 'San Diego, CA 92123",32.715559,-117.162223,6
56,Columbia Pacific Telesystems,telecommunications,"9672 Via Excelencia', 'Ste 204', 'San Diego, CA 92126",32.8988556,-117.1178407,6
57,Pacific San Diego Magazine,printmedia,"2165 San Diego Ave', 'Ste 202', 'San Diego, CA 92110",32.7469825744629,-117.190719604492,6
