,business,category,address,lat,long,lifeline
0,T-Mobile,mobilephones,"7608 Linda Vista Rd', 'Ste 120', 'San Diego, CA 92111",32.8014979280811,-117.158534657265,5
1,Webpass,isps,"1360 5th Ave', 'San Diego, CA 92101",32.7194405,-117.1603241,5
2,KSDS Jazz 88.3,radiostations,"1313 Park Blvd', 'San Diego, CA 92101",32.717458,-117.1526701,5
3,Ego id Media - San Diego,graphicdesign,"3538 Adams Ave', 'San Diego, CA 92116",32.76361,-117.11639,5
4,ZTelco,isps,"9105 Chesapeake Dr', 'San Diego, CA 92123",32.83919,-117.1325,5
5,Verizon Authorized Retailer - GoWireless,mobilephones,"1248 University Ave', 'San Diego, CA 92103",32.7490142,-117.1523673,5
6,T-Mobile,mobilephones,"7007 Friars Rd', 'Ste 877', 'San Diego, CA 92108",32.768231,-117.166834,5
7,Sign It,printmedia,"3220 Kurtz St', 'Ste 100', 'San Diego, CA 92110",32.75386,-117.20583,5
8,Verizon Authorized Retailer - GoWireless,mobilephones,"7007 Friars Rd', 'Ste 207', 'San Diego, CA 92108",32.76884,-117.16848,5
9,T-Mobile,mobilephones,"3146 Sports Arena Blvd', 'Ste 4', 'San Diego, CA 92110",32.752618,-117.205772,5
10,T-Mobile,mobilephones,"120 W Washington St', 'San Diego, CA 92103",32.750091,-117.163512,5
11,Telesystems,telecommunications,"5886 Agee St', 'San Diego, CA 92122",32.84872,-117.20195,5
12,T-Mobile,mobilephones,"3952 Clairemont Mesa Blvd', 'Ste C', 'San Diego, CA 92117",32.8283712,-117.204240158196,5
13,ALT949,radiostations,"9665 Granite Ridge Dr', 'San Diego, CA 92123",32.8061,-117.12006,5
14,Shaun's Telecom,telecommunications,"San Diego, CA 92123",32.8073692321777,-117.134925842285,5
15,The Show 105.3,radiostations,"9660 Granite Ridge Dr', 'Ste 100', 'San Diego, CA 92123",32.8067301949953,-117.120933160186,5
16,105.7 The Walrus,radiostations,"San Diego, CA 92101",32.7211,-117.16431,5
17,T-Mobile,mobilephones,"5504 Balboa Ave', 'San Diego, CA 92111",32.8203,-117.18143,5
18,Verizon,mobilephones,"7035 Clairemont Mesa Blvd', 'Ste 401', 'San Diego, CA 92111",32.8323475038939,-117.166193454591,5
19,Verizon,mobilephones,"980 Camino De Ln', 'Spc 3', 'San Diego, CA 92108",32.7685603,-117.154469,5
20,T-Mobile,mobilephones,"1640 Camino Del Rio N', 'Ste 106', 'San Diego, CA 92108",32.768031,-117.149983,5
21,WiLine Networks,isps,"5264-5266 Eastgate Mall', 'San Diego, CA 92121",32.88252,-117.19488,5
22,San Diego CityBeat,printmedia,"3047 University Ave', 'Ste 202', 'San Diego, CA 92104",32.74824,-117.12847,5
23,91X,radiostations,"6160 Cornerstone Ct E', 'Ste 150', 'San Diego, CA 92121",32.896477,-117.187405,5
24,Cox Store,televisionserviceproviders,"1220 Cleveland Ave', 'Ste M-107', 'San Diego, CA 92103",32.749471,-117.1532518,5
25,Verizon Authorized Retailer - GoWireless,mobilephones,"3737 Murphy Canyon Rd', 'Ste B', 'San Diego, CA 92123",32.8095737991505,-117.115521132946,5
26,KPBS,televisionstations,"5200 Campanile Dr', 'San Diego, CA 92115",32.7717604,-117.0720449,5
27,FOX 5 San Diego - KSWB,televisionstations,"7191 Engineer Rd', 'San Diego, CA 92111",32.82669,-117.16146,5
28,Verizon,mobilephones,"3505 Sports Arena Blvd', 'Ste A', 'San Diego, CA 92110",32.7534716,-117.2119007,5
29,Verizon Authorized Retailer - GoWireless,mobilephones,"6348 College Grove Way', 'Ste 107', 'San Diego, CA 92115",32.7381633,-117.0559626,5
30,M5 Hosting,isps,"9725 Scranton Rd', 'San Diego, CA 92121",32.8974545,-117.2006974,5
31,Time Warner Cable,televisionserviceproviders,"3051 Clairemont Dr', 'San Diego, CA 92117",32.79477,-117.19256,5
32,Spectrum,isps,"8949 Ware Ct', 'San Diego, CA 92121",32.8871903,-117.1680777,5
33,AT&T Internet,isps,"San Diego, CA 92101",32.7176361083984,-117.162132263184,5
34,Get1Free Marketing,printmedia,"4180 Ruffin Rd', 'Ste 235', 'San Diego, CA 92123",32.8171661,-117.1252253,5
35,T-Mobile,mobilephones,"1014 5th Ave', 'Ste 100', 'San Diego, CA 92101",32.7159385651894,-117.160532623529,5
36,T-Mobile,mobilephones,"5807 University Ave', 'Ste 6', 'San Diego, CA 92115",32.749148,-117.071914,5
37,Damascus,graphicdesign,"906 10th Ave', 'Ste 103', 'San Diego, CA 92101",32.7148889,-117.1557349,5
38,ScaleMatrix,isps,"5775 Kearny Villa Rd', 'San Diego, CA 92123",32.837756,-117.132835,5
39,I Heart Media,radiostations,"9660 Granite Ridge dr', 'Ste 100', 'San Diego, CA 92123",32.8052323953294,-117.120985915344,5
40,Cox Store,isps,"1535 Euclid Ave', 'San Diego, CA 92105",32.7204954875978,-117.082455,5
41,T-Mobile,mobilephones,"6551 Mission Gorge', 'San Diego, CA 92120",32.792241,-117.0964975,5
42,T-Mobile,mobilephones,"3089 Clairemont Dr', 'Ste A', 'San Diego, CA 92117",32.7964719,-117.1928518,5
